Rank	Ligand	SMILES	gnina_affinity_min	CNNpose_score_max	CNNaffinity_min
15689	Z1969600553	COC=1C=C(C=CC1S(=O)(=O)N(C)C)NC(=O)N2CCCC(C)(CC2)OC	-3.265550	0.151240	3.842900
15690	Z1237824608	CN1C=CN=C1CCNC(=O)C(=O)NC=2C=CC(=CC2)OC=3C=CC=CC3Cl	-7.610200	0.151200	6.006780
15691	Z983433558	COC=1C=CC=CC1N2CCC(CNC=3N=CN=C4N=CNC34)C2	-5.949300	0.151180	5.680110
15692	Z1565753539	CC(C)COC1CCN(CC2=CC=CC=3OCOC23)CC1	-5.596520	0.151140	3.944450
15693	Z2062025594	C[C@@H]1CN(C[C@H]1C(=O)N2CCCC3=NNC=C32)C=4C=CC=CN4	-4.961440	0.151140	5.410110
15694	Z1642141268	CC(=O)NC1=CNN=C1C2CCCN(C2)C3=NC(C)=NC=4CCCCC34	-4.680340	0.151130	6.635270
15695	Z965657630	CC1=CC=C(S1)C=2C=CC(=O)N(CC=3C=CC=C(C3)C(=O)N(C)C)N2	-5.699960	0.151100	4.833550
15696	Z19033155	CC(=O)NC1=CC=CC(=C1)NC(=O)COC2=CC(C)=CC(=C2)C(C)C	-5.582990	0.151080	4.907480
15697	Z237731382	C=CCN1C(=NC2=C1C(=O)NC(=O)N2C)N3CCN(CC(=O)OCC=4C=CC=CC4)CC3	-3.622780	0.151060	5.880900
15698	Z109077298	CC(C)CN(C(=O)C=1C=CC(Cl)=CC1F)C=2C(=O)NC(=O)N(CC=3C=CC=CC3)C2N	-6.878050	0.151050	5.726110
15699	Z777317350	CCN(CC)S(=O)(=O)C=1C=CC(=CC1)NC(=O)C2=CC(=NN2)C(C)(C)C	-6.299320	0.151030	5.666310
15700	Z1787251556	CC=1C=C2OCOC2=CC1NC(=O)C=3C=C(C=CN3)N4CCOCC4	-8.169540	0.150990	5.475800
15701	Z1845015579	CC(C1=NN=NN1C2CC2)N3CCN(CC3)C=4N=CC=CC4F	-5.103750	0.150950	5.566830
15702	Z2379492493	C=CCN(C)CCN(CC)C(=O)C1CCCCC(=O)N1	-4.520380	0.150930	4.794570
15703	Z3849882353	C[C@H](NC(=O)C1=NNC2=C1C[C@@H]3C[C@H]23)C4CCOCC4	-7.361900	0.150930	4.901630
15704	Z2866903234	C#CCCC1(CCC(=O)NCC2CCC=3C=CC=NC32)N=N1	-5.979230	0.150900	5.104020
15705	Z1892819962	CC(C)C1OCCCC1C(=O)NCCC2=CC=NN2C	-4.743560	0.150890	5.141070
15706	Z1740738309	C=1N=CN(N1)C2CCN(CC3=CNN=C3C=4C=CC=NC4)C2	-5.918380	0.150870	5.511150
15707	Z88253880	CC(NC(=O)CC=1C=CC(=CC1)C=2C=CC=CC2)C=3C=CC(=CC3)N4C=NC=N4	-8.701480	0.150870	6.135280
15708	Z1297465932	CC=1C=C(N(C)N1)N2CCCC(NC(=O)C=3C=CC(=NC3)C(=O)O)C2=O	-7.737440	0.150850	5.493400
15709	Z110100500	CC1=C(SC=2C=CC=C(F)C12)C(=O)NC=3C=CC=4OC(C)C(=O)NC4C3	-8.250090	0.150830	5.734010
15710	Z371095864	CCN(C(=O)C=1C=CC(=CN1)C(=O)O)C=2C=CC(OC)=C(C2)OC	-3.809980	0.150810	3.552390
15711	Z2582964207	CC1=CSC(CC2(O)CCN(CC2)C=3C=C(C)N=C(C)N3)=N1	-5.860650	0.150770	6.285930
15712	Z4418204702	CC=1C=CC(=C(C1)CO)C=2C=CC=C3NC(=O)COCC23	-5.240700	0.150760	4.389190
15713	Z118700770	CC=1NC=2C=CC=CC2C1C(=O)NCCC=3C=CC=CC3	-6.536690	0.150740	4.958930
15714	Z240153904	O=C(CC=1C=NN(C1)C=2C=CC=CC2)NC=3C=CC=C(C3)C(F)(F)F	-5.799610	0.150730	5.763280
