Rank	Ligand	SMILES	VinaAffinity	CNNscore	CNNaffinity
147	Z1272641248	CC1=CC(C)=NN1C=2C=CC(=NN2)N3CCC(CC3)OC=4C=CC(=CC4)[N+]([O-])=O	-10.65228	0.65334	6.91114
148	Z28561585	CC(OC=1C=CC(F)=CC1)C(=O)N2CCCC(C2)C3=NC4=CC=CC=C4S3	-10.65141	0.58721	6.88004
149	Z44491241	CC(C1=NC=2SC=C(C=3C=CC=CC3)C2C(=O)N1)N4CCC=5C=CC=CC5C4	-10.64782	0.35821	7.03923
150	Z465425858	CC=1C=C(NC(=O)C=2C=CC=CC2Cl)SC1C(=O)NCC(C)C=3C=CC=CC3	-10.64224	0.53728	6.93575
151	Z1239663863	O=C(NC=1C=NN(C1)C=2N=CC=CN2)C3CCCN(C3)C(=O)C=4C=CC(F)=CC4	-10.63741	0.67362	6.87836
152	Z1167793283	NC(=O)C1C=2C=CC=CC2CCN1C(=O)C=3C=CC4=NC=CN4C3	-10.63691	0.72982	7.08332
153	Z223221726	O=C(NC=1C=CC=C(Cl)C1)N2CCC(CC2)C3=NC4=CC=CC=C4N3	-10.63608	0.38877	6.57043
154	Z87677118	CC=1C=CC(=CC1S(=O)(=O)NCC=2C=CC=CC2)C(=O)NCC3=CN4C=CC=CC4=N3	-10.6353	0.59444	7.32659
155	Z1625867285	COC=1C=CC(=CC1)C(=O)N2CCCC(C2)C3=NNC=C3NC(=O)C4CCCC4	-10.63223	0.78453	7.26127
156	Z95983485	CC1=NN(C(C)=C1CCC(=O)NC=2C=CC=C(C2)N3CCCC3=O)C=4C=CC=CC4	-10.62924	0.56209	6.97019
157	Z126262110	O=C(CN1CCC=2SC=CC2C1C3=CC=CS3)NC(=O)NC=4C=CC=5OCOC5C4	-10.62663	0.5253	6.93518
158	Z56773617	N#CC1=C(NC(=O)CCN2C(=O)C=3C=CC=CC3C2=O)OC(=C1C=4C=CC=CC4)C=5C=CC=CC5	-10.62312	0.65962	7.78994
