Rank	Ligand	SMILES	Binding Affinity (kcal/mol)	CNNscore	CNNaffinity
9382	Z2066321849	CC=1C=CN=C2C=CC(=CC12)C(=O)N3CC=4C=CC=CC4C[C@H]3C(N)=O	-3.34	0.804728	7.386848
9383	Z3091864412	COC(=O)[C@@H]1CN(C[C@H]1C2=CN=CN2C)C(C)C=3C=CC(Cl)=CC3 |&1:4,8,r|	-3.33	0.688869	6.682308
9384	Z1461624870	COC=1C=CC=C(C1)C2(CCCC2)C(=O)N[C@H]3C=4C=CC=CC4C[C@H]3O	-3.33	0.673324	6.820575
9385	Z1262260566	O=C(CN1C=CC(=O)C=2SC=CC21)N(C3CCCC3)C4CCS(=O)(=O)C4	-3.33	0.706906	6.856498
9386	Z2071445974	COC=1C=CC=CC1C2CCC(C)CN2C(=O)NC=3C=CN=CC3	-3.33	0.894942	6.969695
9387	Z2005513821	COC(=O)C1CC21CCN(CC2)C(=O)C=3C=CN=CC3C(F)(F)F	-3.33	0.545135	6.415272
9388	Z2214027615	CC1(C)CN(CC(O1)C=2C=CC=C(C2)C(F)(F)F)C3=NC=CN4N=NN=C34	-3.33	0.692059	7.760728
9389	Z1663826383	CNC(=O)CN1CCN(CC1)C(=O)C2CC3CCCCC3N2C=4N=CC=CN4	-3.32	0.255465	6.923454
9390	Z1832617610	CC=1N=C(CC2CC2)SC1C(=O)N3CCCC3C4=NC=5C=CC=CC5N4C	-3.32	0.541628	7.567071
9391	Z2227602455	CC(C)(C(N)=O)C(=O)N1C[C@@H](C#N)[C@@H](C1)C=2C=CC=CC2	-3.32	0.810443	6.746618
9392	Z1998179591	COC=1C=CC(C)=CC1S(=O)(=O)N(C)C(C)C=2SC(C)=NC2C	-3.31	0.616985	7.148563
9393	Z1719154460	CSC=1C=CC=C(C)C1NC(=O)N2CCOC(C2)C3=NC=CS3	-3.31	0.547961	6.784663
9394	Z1159200325	CC(CN1CCOCC1)N(CC=2C=CC=CC2)CC3=CC(=O)N4N=CC=C4N3	-3.31	0.587073	7.699915
9395	Z1642429423	CN1C=CC(CC(=O)NCC2(CCCCC2)N3CCOCC3)=N1	-3.31	0.764411	6.671440
9396	Z2292507154	CC=1C=CC(=CC1NC(=O)N2CCCC3(CCS(=O)(=O)C3)C2)C(F)(F)F	-3.30	0.461922	6.758409
9397	Z3216015111	CCC=1N=C(C=2SC=C(C)C2N1)N3CCNC(=O)C3C	-3.30	0.487430	7.055167
9398	Z2157427146	CN1C=C(C=N1)C2CCCCN2C=3C=NC=4C=C(F)C(F)=CC4N3	-3.30	0.394977	6.995028
9399	Z1958157224	COC=1C=CC=C(C1)N2N=C(C)C(=C2C)C3COCCN3S(=O)(=O)C4=CN=NN4C	-3.29	0.530414	7.595933
9400	Z1998395503	COC1=CC=CC=2CN(CCC12)S(=O)(=O)C=3C=C(C)C=CC3OC	-3.29	0.682156	7.116348
9401	Z2015260307	O=S(=O)(CC=1C=CON1)N2CCN(CC3CCCC(F)(F)C3)CC2	-3.29	0.599301	7.251896
9402	Z192903068	CC=1N=C2C(C=NN2C(C)C)=CC1C(=O)NC=3C=CC=CC3N4CCN(C)CC4	-3.29	0.369509	7.583602
9403	Z1729862875	CC1=CSC2=NC=C(C(=O)N3CCN(C=4C=C(F)C=CC43)C5CC5)C(=O)N12	-3.28	0.256641	7.280181
9404	Z2000124077	CC1(NC(=O)N(CC=2C=CC(Cl)=CC2C#N)C1=O)C=3C=NC=CN3	-3.28	0.542740	7.271650
9405	Z1141176505	CC1=CC(C)=NN1CC2CN(CC3=C(N=C4SC=CN34)C=5C=CC(Cl)=CC5)CCO2	-3.27	0.309836	7.648541
9406	Z3362334321	C[C@@H]1COC[C@@](CO)(CNC2COCC=3N=CC=CC32)N1CC=4C=CC=CC4	-3.27	0.309141	6.982645
9407	Z1276410702	CC1CN(C(=O)C2CC(=O)N(CC3=CC=CO3)C2)C(CO1)C=4C=CC=CC4	-3.27	0.441880	7.111904
9408	Z2039590955	CC=1C=CC=CC1C2(CNC(C3=NN=CN3)C=4C=CC=NC4)CCOCC2	-3.26	0.600772	7.503172
9409	Z2012766135	CC=1CCN(CC1C2=CC=CO2)C(=O)[C@@H]3OCC(=O)N(C)[C@H]3C=4C=NN(C)C4	-3.24	0.464965	7.350770
9410	Z1675964148	CC=1N=C(OC1C(=O)NC2(CCC=3C=CC=CC32)C(F)(F)F)C4CC4	-3.23	0.628103	7.263392
9411	Z3063436382	CC1=NC(C)=C(S1)C(=O)N2[C@H](C[C@H]3OCC[C@H]32)C(=O)NC4CC4 |&1:10,12,16,r|	-3.22	0.680663	7.569460
9412	Z2280039249	CS(=O)(=O)C1CN(C1)S(=O)(=O)C=2C=CC(=CC2)C3CCCCC3	-3.20	0.667790	6.789497
9413	Z1739198235	CC=1C=CC(C)=C(C1)S(=O)(=O)N2CCS(=O)(=O)CC2C(=O)O	-3.20	0.727147	6.381328
9414	Z2169184972	CC1=CSC(=N1)C2COCCN2CC=3C=CC=C4CC(C)(C)OC34	-3.19	0.443259	6.865813
9415	Z1495045310	CN1N=C(C=2C=CC=CC2)C=3C(=NNC31)NC(=O)C4=CN=C5CCCCN45	-3.18	0.623141	7.665867
9416	Z2217007945	CC1CCN(CC1)S(=O)(=O)C2=CC=CC=C2S(=O)(=O)N(C)C=3C=NN(C)C3	-3.18	0.588897	7.279653
9417	Z1612186374	O=C1NC(CC=2C=CC=CC2)C(=O)N1CC3(CCOCC3)C=4C=CC=CC4	-3.17	0.605474	7.411261
9418	Z166576668	CN(C)C(=O)C(SC=1N=C(NC2CC2)C=3C=CC=CC3N1)C=4C=CC=CC4	-3.16	0.405133	7.370000
9419	Z1657285385	COC1CC=2C=CC(=CC2C1)NC(=O)N3CC=4C=CC=CC4CC3C=5C=CC=CC5	-3.15	0.845153	7.569201
9420	Z1738937960	O=C(O)C1CCCCN1S(=O)(=O)C2=CNC=3N=CC=C(Cl)C23	-3.15	0.760508	7.001661
9421	Z1082412902	COC=1C=CC=CC1C(C)NC(=O)C=2C=CC=CC2N3CCN(C)CC3	-3.15	0.529822	6.941620
9422	Z318400346	CC1=CC=C(C)N1C=2SC=CC2C(=O)NC=3C=CC=C(C3)NS(C)(=O)=O	-3.15	0.639016	7.620190
9423	Z1369011989	CC=1N=C2CN(CCN2N1)C(=O)C3CC=4C=CC=CC4CN3C(=O)CC(C)C	-3.15	0.511192	7.068595
9424	Z1738279779	CC=1N=NC=CC1NC(=O)NC2CC3(CCCC3)OC=4C=CC=CC42	-3.14	0.709800	6.727077
9425	Z2060516480	CN1C=CN=C1C(NC(=O)C2=CN(C)C=3C=CC=CC23)C4CCOCC4	-3.14	0.769122	6.870488
9426	Z1987920470	O=C(C=1C=CC=NC1N2CCCC2)N3CCCC3C4COCCC4O	-3.12	0.928044	7.380321
9427	Z1349146214	CCNC(=O)C=1C=CC(=NC1)N2CCCC2C=3C=CC=CC3OC	-3.10	0.636261	6.766045
9428	Z3068704518	CC1=C(C=NN1C2CCOCC2)NC3CCOCC43CCCCC4	-3.10	0.502903	7.270601
9429	Z2010517453	CCC1=CC=C(O1)C2CC(C)CCN2C=3C=CC4=NN=C(C5CC5)N4N3	-3.10	0.510762	7.698995
9430	Z3313300141	CC(C)(C)OC(=O)N1CCC2(C1)C=3NC=NC3CCN2CC4=CC=CN=C4	-3.08	0.679904	7.691859
9431	Z1011620888	O=C(NC=1C=CC=2OCCCC2C1)N3CCN(CC3)C=4N=CC=CN4	-3.07	0.067446	6.641441
9432	Z1006531252	CC1=NNC=2N=C(C)C=C(C(=O)N3CCN(CC3)C(=O)COC=4C=CC(C)=CC4)C12	-3.07	0.518375	7.574094
9433	Z2291727677	CSC=1C=CC(Cl)=CC1NC(=O)N2CCCC3(CCS(=O)(=O)C3)C2	-3.06	0.530117	6.843022
9434	Z1444670360	COC=1C=CC=C(C(=O)N(CC(=O)O)C2CCOCC2)C1OC	-3.06	0.487018	5.989997
9435	Z2087047508	CCC1(NC(=O)N(C1=O)C=2C=CN=C(C2)OC)C=3C=CC=CC3	-3.05	0.647819	6.909843
9436	Z2061896857	CC=1C=CC=2CC(C)C(NC(=O)N3CCC4OCCN(C)C4C3)C2C1	-3.05	0.461357	5.991267
9437	Z3299519193	CC1=NOC(C)=C1C(=O)N2CCOC3(CCN(CC3)C(=O)C4CCN(C)C4)C2	-3.05	0.246684	6.769928
9438	Z109131412	COC=1C=CC(=CC1NC(=O)C=2C=CC(Cl)=CC2N3CCCC3=O)NC(C)=O	-3.04	0.669218	7.133533
9439	Z109791888	CC(C)C=1C=CC(=CC1)C(NC(=O)C2=NN(C)C(=O)C=3C=CC=CC23)C4=CC=CS4	-3.03	0.861082	7.646380
9440	Z2189901500	COC=1C=C2CCN(CC2=CC1OC)C(=O)NC3CC(=O)N(C3)C=4C=CC=CC4F	-3.02	0.674036	7.334822
9441	Z1815376660	CC(SC1=NN=C(C=2C=CN=CC2)N1C3CCCCC3)C4=NN=NN4C	-3.02	0.787113	7.666775
9442	Z1891994981	CC(=O)N(CC=1C=CC(=CC1)N2C(=O)N3CCC[C@@]3(C)C2=O)C4CC4	-3.00	0.623898	7.251066
9443	Z3313300466	CCC(C)CN1CCC=2N=CNC2C31CCN(C3)C(=O)OC(C)(C)C	-2.99	0.745488	7.820875
9444	Z1533988412	O=C(C1=CN=C(S1)C2CCCO2)N3CCOC(C3)C4=CC=CS4	-2.98	0.396254	6.382036
9445	Z1307197437	CN1CCCC(CNC(=O)N2CCNC(=O)C2)C1C3=CC=CS3	-2.96	0.436445	6.935567
9446	Z1646441240	COC=1C=CC=C2N=CN=C(C12)N3CCC(CC3)C4=CC=CN=C4	-2.93	0.507428	7.406353
9447	Z2196432608	CN1C(CNC(=O)C2(CCCC2)C=3C=CC=NC3)=NC4=CC(F)=CC=C41	-2.93	0.829798	7.133042
9448	Z1545418644	CC(C)N1C=CC=C1C(=O)N2CCN(CC2)C(=O)C=3C=CC=4OCOC4C3	-2.92	0.522041	6.373859
9449	Z1730749837	CC=1C=C2C(=NC=CN2N1)NCC3(CCOCC3)C4=CC=CC=C4C	-2.90	0.868196	7.231564
9450	Z1798512125	CC1(C)CN(CC2(CCCC2)O1)C=3N=CC(=CC3Br)[N+]([O-])=O	-2.90	0.325515	6.712177
9451	Z3076438709	CN1CCN(C(=O)C=2N=NNC2C=3C=CC=CC3)C(C1)C=4C=CC=CC4	-2.89	0.498089	7.581243
9452	Z164993528	CC1(NC(=O)N(CC(=O)N2CCCC2C=3C=CC=NC3)C1=O)C=4C=CC=CC4	-2.88	0.653521	7.562143
9453	Z1155273137	CC=1C=CC(=NC1)N(C(=O)C2=CSC(=N2)C=3C=NN(C)C3)C4CCCCC4	-2.86	0.627681	7.548538
9454	Z2052751130	CCN1C(=O)NN=C1[C@@H]2C[C@@H](CN2C=3C=CN=C4C=CN=CC34)OC	-2.85	0.282797	6.793068
9455	Z1896938719	CC(C)(C)C1(C)NC(=O)N(CC=2C=CC=CC2C(C)(C)C#N)C1=O	-2.85	0.831269	7.054812
9456	Z2290387725	CC1CN(CC(=O)N1)C(=O)NC=2C=C(C=CC2N3CCOCC3)C(F)(F)F	-2.84	0.406941	6.918869
