Rank	LigandID	SMILES	AutoDockAffinity(kcal/mol)	GNINAaffinity(kcal/mol)	CNNscore
176	Z2155397189	O=C1CCCC(CC2=NC(=NO2)C=3C=CC(Cl)=CC3)N1	-6.910000	6.040540	0.863020
177	Z109728932	O=C(NCC=1C=CC(=CC1)N2CCCC2=O)C3=CC(=NC4=CC=CC=C34)C5CC5	-6.100000	6.626040	0.863000
178	Z2936883893	CC=1C=C(F)C=CC1CC2=NOC(=N2)[C@@H]3CCCCN3C	-6.000000	6.368730	0.862950
179	Z96611437	CC(NC(=O)CN1C=C(C=C(Cl)C1=O)C(F)(F)F)C2=CC=CO2	-4.830000	6.714750	0.862870
180	Z2387694099	CO[C@H]1C[C@H]2CC(C[C@H]2C1)NCC3=NNC(=N3)C(C)(C)C	-7.350000	6.062720	0.862720
181	Z27434417	CC(C)C(=O)NC1=CC=CC(=C1)S(=O)(=O)NC=2CCCN2	-5.950000	5.452160	0.862690
182	Z18544956	O=C(COC(=O)C1=NNC=2C=CC=CC12)NC=3C(Cl)=CC=CC3Cl	-5.540000	6.317650	0.862260
183	Z1517291747	CC(C(=O)NC1=NC(=CS1)CN2CCC(C)CC2)C3CCOCC3	-7.060000	6.356550	0.862210
184	Z45439538	COC=1C=C2CCN(CC2=CC1OC)S(=O)(=O)C3=CC=C(Cl)C(=C3)C(F)(F)F	-4.730000	6.442120	0.862170
185	Z1169882172	COC=1C=CC=CC1C2=NOC(=N2)C(C)N3C=CC=N3	-4.940000	5.172360	0.861930
186	Z2683070430	CCOC(=O)C1=NC(=NN1)C(CC(C)C)NC(=O)NC=2C=CN=CN2	-5.230000	6.625400	0.861840
187	Z910733868	O=C(CN1N=C(C=CC1=O)C=2C=CC=CC2)NC=3C=CNN3	-5.370000	6.016620	0.861740
188	Z2188087272	CCNC1=NC(=CS1)C(=O)N2CCOCC2CCOC	-4.440000	4.646150	0.861640
189	Z1449845522	Cl.CCC(N)C(=O)N(CC1=CC=CS1)C=2C=CC=3OCCOC3C2	-5.050000	6.642430	0.861120
190	Z1126868566	CC=1NN=C(C(N)=O)C1NC(=O)C=2C=CC(=CC2)OCC3CC3	-5.530000	6.261560	0.860980
191	Z735745082	CC1=C(N=NN1C=2C=CC=C(Br)C2)C(=O)NC=3C=CC=NC3	-6.380000	6.796360	0.860960
192	Z2777478903	O=C(C=1C=CC=C(C1)OC=2C=CC=CN2)N3CCCC(C3)C4CC4	-6.540000	6.455410	0.860880
193	Z2389026285	COCC1(CCCN1C(=O)C2=CC=CC=C2CCC(F)(F)F)C(N)=O	-4.040000	5.761170	0.860820
194	Z280655328	CCN1N=NC=2C=C(C=CC21)C(=O)NC3=NC=C(CC=4C=CC(F)=C(F)C4)S3	-6.780000	7.095360	0.860530
195	Z4138567603	CN1N=NC=2C(=CC=CC21)C=3C=CC(F)=C(C3)OC(F)(F)F	-4.850000	5.900700	0.860490
196	Z1864858866	CC=1C=CC=CC1C2C(=O)NCCN2C(=O)CC(C)(F)F	-4.330000	6.105220	0.859930
197	Z436072956	COC=1C=CC=CC1C=2C=NN3C(O)=CC(C)=NC23	-4.800000	5.549200	0.859780
