SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
O=C(NCC1COC=2C=CC=CC2O1)C=3C=CC=4SCCC(=O)NC4C3,Z29884747,370.424,370.424,2.587,-5.111,2,4,76.66,3,https://real.enamine.net/public-enum-files/Z29884747
CN1C=CN=C1[C@H]2OCCC[C@@H]2NC3CCN(CC=4C=CN=CC4)CC3,Z1757996362,355.478,355.478,-0.237,-0.626,1,5,55.21,5,
CN(CC1=NC=CS1)C2CC32CCN(CC4=CN=C5C=NC=CN45)CC3,Z1759265748,368.501,368.501,0.865,-0.161,0,5,49.56,5,https://real.enamine.net/public-enum-files/Z1759265748
CC1(C)C(CCN1C(=O)NC2=CC=CN=C2)C(F)(F)F,Z1816216704,287.281,287.281,2.097,-2.817,1,2,45.23,2,https://real.enamine.net/public-enum-files/Z1816216704
CC=1C=CC(=CC1)C(=O)N2CC(=O)NC=3C(C)=CC=NC32,Z1575102116,281.31,281.31,1.953,-3.97,1,3,62.3,2,https://real.enamine.net/public-enum-files/Z1575102116
CC=1C=CC=C(C2=NN=NN2[C@@H]3C[C@H]3C)C1NC(=O)NCCC(=O)N(C)C,Z1913009105,371.438,371.438,1.806,-3.108,2,5,105.04,6,https://real.enamine.net/public-enum-files/Z1913009105
C=1C=CC2=C(C1)CCCC2SC3=NN=C(C=4C=CN=CC4)N3C5CC5,Z441183132,348.467,348.467,3.576,-5.831,0,3,43.6,4,https://real.enamine.net/public-enum-files/Z441183132
CC=1C=CC=CC1C2CC2C(=O)N3CCN(CC3)C=4N=CN=C5C=CSC45,Z1260135650,378.493,378.493,3.477,-5.182,0,4,49.33,3,https://real.enamine.net/public-enum-files/Z1260135650
COC1CN(CCC1C)C(=O)NCC=2C=CC(=CC2)N3C=NC=N3,Z1787310819,329.398,329.398,1.695,-3.185,1,4,72.28,6,https://real.enamine.net/public-enum-files/Z1787310819
CCOC1=CN(N=C1C(=O)NC=2C=CC=C(CS(C)=O)C2C)C=3C=CC=CC3,Z1220008181,397.493,397.493,1.536,-3.902,1,4,73.22,7,https://real.enamine.net/public-enum-files/Z1220008181
CC1CCC(O)(CN[C@H]2CCCC[C@H]2N3C=C(CO)N=N3)CC1,Z1824332986,322.447,322.447,1.672,-2.154,3,5,83.2,5,https://real.enamine.net/public-enum-files/Z1824332986
CC1=NC(=CS1)CN2C[C@@H](F)C[C@H]2CN(C)C=3C=CN=C(N3)C4CC4,Z1763204092,361.482,361.482,2.992,-1.99,0,5,45.15,6,https://real.enamine.net/public-enum-files/Z1763204092
CN1N=CN=C1S(=O)(=O)CC=2C=NN(C2)C=3C=CC=CC3,Z1838000126,303.341,303.341,0.432,-2.23,0,5,82.67,4,https://real.enamine.net/public-enum-files/Z1838000126
